customer_id,Recency,Frequency,Monetary,Cluster
897,41,4,52.7,Lost Customers
898,39,79,45.77,Loyal Customers
899,19,1,26.87,Casual Customers
901,231,4,59.38,Lost Customers
902,602,3,23.79,Casual Customers
906,0,41,34.34,Loyal Customers
907,98,8,33.51,Loyal Customers
908,240,2,28.73,Casual Customers
909,1052,2,29.26,Casual Customers
912,30,39,52.36,Loyal Customers
914,469,11,38.93,Casual Customers
916,245,13,47.25,Loyal Customers
919,209,1,34.2,Casual Customers
921,846,1,24.04,Casual Customers
925,229,2,13.68,Casual Customers
926,141,1,41.88,Casual Customers
928,83,5,33.35,Casual Customers
930,268,7,44.52,Lost Customers
933,739,3,59.37,Lost Customers
936,11,35,41.32,Loyal Customers
943,97,11,43.02,Loyal Customers
945,25,83,42.94,Loyal Customers
947,10,105,40.34,Loyal Customers
949,720,3,29.85,Casual Customers
950,4,2,53.28,Loyal Customers
951,194,14,31.57,Casual Customers
956,2,15,44.91,Loyal Customers
957,148,22,40.59,Loyal Customers
959,1667,1,64.8,Lost Customers
961,126,21,41.54,Loyal Customers
963,16,51,41.35,Loyal Customers
966,256,3,43.39,Lost Customers
968,11,46,43.78,Loyal Customers
969,171,2,55.42,Lost Customers
970,20,63,40.23,Loyal Customers
971,871,2,34.89,Casual Customers
972,40,31,44.27,Loyal Customers
974,100,43,48.97,Loyal Customers
975,236,9,50.87,Lost Customers
976,1366,1,25.58,Casual Customers
977,162,5,43.37,Lost Customers
978,1,203,41.8,Loyal Customers
980,3,62,47.01,Loyal Customers
982,24,43,43.31,Loyal Customers
983,29,59,38.69,Loyal Customers
984,100,26,39.96,Loyal Customers
985,16,82,39.88,Loyal Customers
986,126,2,39.14,Casual Customers
987,128,9,35.56,Loyal Customers
988,124,3,24.93,Casual Customers
989,25,76,40.7,Loyal Customers
990,711,3,43.86,Lost Customers
993,38,309,41.76,Loyal Customers
994,386,1,15.95,Casual Customers
997,31,42,44.16,Loyal Customers
998,499,3,31.1,Casual Customers
1002,248,2,46.52,Lost Customers
1003,275,11,51.89,Lost Customers
1004,766,2,38.99,Casual Customers
1005,548,2,61.54,Lost Customers
1010,152,5,53.54,Lost Customers
1013,230,7,44.89,Lost Customers
1017,155,8,28.59,Casual Customers
1019,19,31,41.14,Loyal Customers
1020,235,5,34.29,Casual Customers
1021,254,4,45.96,Lost Customers
1022,2197,1,78.47,Lost Customers
1023,260,3,55.91,Lost Customers
1024,73,6,50.86,Loyal Customers
1029,81,26,46.61,Loyal Customers
1030,5,39,41.55,Loyal Customers
1031,23,23,35.69,Loyal Customers
1032,72,32,35.71,Loyal Customers
1033,1045,2,64.65,Lost Customers
1034,1466,1,65.52,Lost Customers
1036,525,1,66.79,Lost Customers
1040,1488,1,52.01,Lost Customers
1041,164,20,43.93,Loyal Customers
1042,37,21,36.23,Loyal Customers
1044,100,8,29.47,Casual Customers
1046,133,17,34.42,Loyal Customers
1047,190,8,42.3,Loyal Customers
1051,183,4,58.73,Lost Customers
1052,327,6,32.37,Casual Customers
1054,51,11,49.17,Loyal Customers
1057,40,11,34.34,Loyal Customers
1060,127,17,44.98,Loyal Customers
1065,2128,1,54.36,Lost Customers
1066,1912,1,11.82,Casual Customers
1068,126,4,44.18,Lost Customers
1070,384,1,37.88,Casual Customers
1071,38,86,38.83,Loyal Customers
1073,55,23,43.65,Loyal Customers
1074,641,2,48.12,Lost Customers
1076,20,73,41.87,Loyal Customers
1078,27,17,50.09,Loyal Customers
1079,24,16,35.75,Loyal Customers
1081,418,3,45.29,Lost Customers
1082,575,4,29.94,Casual Customers
1084,981,1,9.58,Casual Customers
1085,25,16,40.38,Loyal Customers
1088,48,75,40.86,Loyal Customers
1091,180,2,42.18,Casual Customers
1092,714,2,36.61,Casual Customers
1095,26,117,42.85,Loyal Customers
1097,90,14,41.05,Loyal Customers
1098,1008,2,23.92,Casual Customers
1101,158,7,44.26,Loyal Customers
1103,56,37,40.65,Loyal Customers
1105,518,1,18.57,Casual Customers
1107,35,22,42.27,Loyal Customers
1108,1974,1,43.72,Lost Customers
1109,22,13,55.3,Loyal Customers
1111,106,3,39.06,Casual Customers
1112,17,52,42.32,Loyal Customers
1113,186,7,34.98,Casual Customers
1114,4,43,42.79,Loyal Customers
1116,114,19,41.96,Loyal Customers
1119,16,126,41.29,Loyal Customers
1120,53,38,44.83,Loyal Customers
1125,399,5,35.08,Casual Customers
1126,55,33,38.17,Loyal Customers
1127,46,30,52.25,Loyal Customers
1128,55,9,42.68,Loyal Customers
1130,189,8,53.46,Lost Customers
1132,2093,1,68.88,Lost Customers
1138,108,11,52.65,Loyal Customers
1139,358,6,36.05,Casual Customers
1142,331,6,44.34,Lost Customers
1144,287,12,44.23,Loyal Customers
1145,308,6,35.39,Casual Customers
1147,13,53,41.69,Loyal Customers
1151,746,1,12.93,Casual Customers
1152,909,2,23.93,Casual Customers
1153,65,3,37.37,Casual Customers
1154,117,8,33.7,Casual Customers
1155,2138,1,20.99,Casual Customers
1156,91,2,25.48,Casual Customers
1158,191,8,41.39,Loyal Customers
1159,68,9,58.83,Lost Customers
1161,260,1,66.37,Lost Customers
1162,189,8,45.68,Loyal Customers
1163,91,6,41.91,Loyal Customers
1168,1094,2,43.12,Lost Customers
1169,1281,1,7.25,Casual Customers
1171,3,48,43.41,Loyal Customers
1172,1030,1,53.31,Lost Customers
1173,901,1,71.67,Lost Customers
1174,358,10,39.31,Casual Customers
1176,44,52,42.02,Loyal Customers
1179,226,3,36.19,Casual Customers
1186,39,42,47.79,Loyal Customers
1190,100,1,35.06,Casual Customers
1191,437,2,43.18,Lost Customers
1192,36,8,43.98,Loyal Customers
1193,279,5,40.79,Casual Customers
1199,1282,2,70.93,Lost Customers
1200,340,8,46.62,Lost Customers
1202,54,7,46.6,Loyal Customers
1206,552,1,59.75,Lost Customers
1208,12,3,31.42,Loyal Customers
1209,487,5,36.23,Casual Customers
1210,5,116,43.35,Loyal Customers
1212,316,4,55.06,Lost Customers
1213,94,14,37.87,Loyal Customers
1215,111,1,52.53,Lost Customers
1217,18,66,42.66,Loyal Customers
1218,207,11,36.47,Loyal Customers
1219,7,11,49.7,Loyal Customers
1221,2011,1,25.05,Casual Customers
1226,182,6,41.87,Casual Customers
1228,94,3,67.51,Lost Customers
1229,2000,1,39.47,Casual Customers
1230,146,9,23.98,Casual Customers
1233,28,13,56.23,Loyal Customers
1234,78,15,45.36,Loyal Customers
1236,89,17,43.48,Loyal Customers
1237,150,3,51.97,Lost Customers
1238,26,71,41.03,Loyal Customers
1240,1064,4,47.93,Lost Customers
1242,1513,3,45.07,Lost Customers
1243,176,2,59.01,Lost Customers
1244,7,58,44.42,Loyal Customers
1246,21,80,39.08,Loyal Customers
1250,178,7,40.88,Loyal Customers
1251,412,1,79.69,Lost Customers
1253,18,5,51.15,Loyal Customers
1254,110,19,33.19,Loyal Customers
1255,67,60,45.15,Loyal Customers
1256,200,2,60.74,Lost Customers
1257,218,14,31.44,Casual Customers
1258,187,6,64.02,Lost Customers
1260,2,81,42.63,Loyal Customers
1261,40,31,38.7,Loyal Customers
1263,1474,6,66.31,Lost Customers
1264,92,2,34.69,Casual Customers
1267,42,2,39.19,Casual Customers
1271,971,7,54.14,Lost Customers
1272,1730,1,79.34,Lost Customers
1273,132,30,40.61,Loyal Customers
1278,68,13,38.84,Loyal Customers
1280,56,64,46.62,Loyal Customers
1281,43,61,41.68,Loyal Customers
1282,911,6,41.06,Casual Customers
1283,74,175,43.1,Loyal Customers
1284,1,6,30.33,Loyal Customers
1286,40,68,46.44,Loyal Customers
1290,54,15,34.05,Loyal Customers
1291,120,19,38.41,Loyal Customers
1294,138,9,45.92,Loyal Customers
1297,319,4,33.38,Casual Customers
1298,44,102,38.85,Loyal Customers
1299,377,4,51.34,Lost Customers
1301,274,1,58.73,Lost Customers
1304,36,354,40.67,Loyal Customers
1305,459,3,47.43,Lost Customers
1307,21,19,44.4,Loyal Customers
1308,311,14,32.18,Casual Customers
1309,5,24,43.04,Loyal Customers
1310,121,5,38.2,Casual Customers
1311,699,2,60.04,Lost Customers
1313,144,2,31.8,Casual Customers
1315,120,13,48.06,Loyal Customers
1316,44,3,35.54,Casual Customers
1317,1764,4,28.24,Casual Customers
1321,29,36,41.67,Loyal Customers
1322,27,115,44.86,Loyal Customers
1326,218,6,31.72,Casual Customers
1331,73,22,45.8,Loyal Customers
1335,414,3,28.32,Casual Customers
1338,111,20,43.26,Loyal Customers
1340,372,2,43.38,Lost Customers
1345,181,24,33.32,Loyal Customers
1347,252,6,35.74,Casual Customers
1348,38,34,41.5,Loyal Customers
1351,44,6,41.47,Loyal Customers
1352,414,7,51.5,Lost Customers
1353,207,18,40.14,Loyal Customers
1354,1214,1,5.09,Casual Customers
1355,76,28,40.57,Loyal Customers
1356,1105,1,73.18,Lost Customers
1362,1838,1,54.83,Lost Customers
1363,1077,1,13.42,Casual Customers
1368,101,8,51.28,Loyal Customers
1369,511,3,41.77,Casual Customers
1370,507,4,38.93,Casual Customers
1372,261,11,30.58,Casual Customers
1373,156,4,51.93,Lost Customers
1377,102,18,49.45,Loyal Customers
1382,5,94,42.22,Loyal Customers
1385,4,71,44.66,Loyal Customers
1391,170,4,36.12,Casual Customers
1393,966,1,35.76,Casual Customers
1394,37,64,48.1,Loyal Customers
1395,53,48,38.61,Loyal Customers
1397,223,6,29.34,Casual Customers
1398,357,4,39.68,Casual Customers
1399,157,4,49.52,Lost Customers
1401,1,75,44.25,Loyal Customers
1402,117,21,45.42,Loyal Customers
1404,1737,1,62.67,Lost Customers
1406,53,7,48.94,Loyal Customers
1408,320,6,54.7,Lost Customers
1411,336,8,52.94,Lost Customers
1412,171,6,35.43,Casual Customers
1413,36,38,43.72,Loyal Customers
1414,35,22,44.79,Loyal Customers
1415,44,29,46.22,Loyal Customers
1416,181,8,51.6,Lost Customers
1419,101,2,37.99,Casual Customers
1420,42,23,43.28,Loyal Customers
1421,29,86,45.41,Loyal Customers
1422,70,8,47.0,Loyal Customers
1423,17,91,41.15,Loyal Customers
1426,120,3,37.39,Casual Customers
1427,960,2,63.42,Lost Customers
1429,360,4,45.98,Lost Customers
1430,132,8,50.38,Lost Customers
1431,91,12,40.9,Loyal Customers
1434,10,38,44.58,Loyal Customers
1437,135,16,39.35,Loyal Customers
1438,2080,3,62.66,Lost Customers
1439,25,44,40.42,Loyal Customers
1442,70,56,42.77,Loyal Customers
1444,160,12,39.69,Loyal Customers
1445,1098,1,25.91,Casual Customers
1446,176,16,38.12,Loyal Customers
1448,113,6,48.28,Lost Customers
1449,7,28,47.74,Loyal Customers
1450,1936,1,43.03,Lost Customers
1451,201,6,44.24,Lost Customers
1453,46,4,28.6,Casual Customers
1455,187,18,39.38,Loyal Customers
1456,18,63,40.82,Loyal Customers
1457,330,7,34.21,Casual Customers
1459,13,14,43.67,Loyal Customers
1460,637,1,22.48,Casual Customers
1462,30,3,31.48,Casual Customers
1463,913,1,6.74,Casual Customers
1464,1232,1,23.52,Casual Customers
1467,27,83,41.87,Loyal Customers
1468,25,15,52.36,Loyal Customers
1469,94,4,58.81,Lost Customers
1470,1538,1,62.94,Lost Customers
1472,244,3,35.33,Casual Customers
1477,131,9,38.61,Loyal Customers
1478,611,3,29.51,Casual Customers
1480,1583,1,37.01,Casual Customers
1481,310,6,34.3,Casual Customers
1482,118,14,46.16,Loyal Customers
1483,869,1,8.19,Casual Customers
1484,599,7,43.56,Lost Customers
1488,24,44,43.36,Loyal Customers
1490,1240,1,63.14,Lost Customers
1491,1,8,47.08,Loyal Customers
1494,29,63,48.22,Loyal Customers
1495,24,2,69.97,Lost Customers
1497,99,4,45.04,Lost Customers
1499,6,24,44.88,Loyal Customers
1501,28,1,76.9,Lost Customers
1503,546,1,9.92,Casual Customers
1504,181,16,37.32,Loyal Customers
1507,22,1,48.43,Lost Customers
1508,281,4,42.4,Casual Customers
1513,20,17,43.42,Loyal Customers
1516,610,1,77.65,Lost Customers
1518,258,6,34.47,Casual Customers
